"Country","CHE_GDP","desempleo"
"United States of America",17.1,NA
"Uruguay",9.3,"10.7"
"Uzbekistan",6.4,"5.2"
"Vanuatu",3.3,NA
"Venezuela",NA,"7.3"
"Venezuela ",1.2,NA
"Vietnam",5.5,"2.22"
"Yemen",NA,"12.9"
"Zambia",4.5,"11.4"
"Zimbabwe",6.6,"4.9"
